Offense Category,Total Offenders,White,"Black or
African
American","American
Indian or
Alaska
Native",Asian,"Native
Hawaiian
or Other
Pacific
Islander","Unknown
Race"
Total,8536946,4337471,2646696,121995,74639,17569,1338576
Crimes Against Persons,2704042,1437658,1027688,45017,27689,7250,158740
Assault Offenses,2485302,1310387,965276,41508,24871,6723,136537
Homicide Offenses,16977,6120,8504,203,120,20,2010
Human Trafficking Offenses,1992,883,795,24,54,4,232
Kidnapping/Abduction,36578,20201,13367,673,414,128,1795
Sex Offenses,163193,100067,39746,2609,2230,375,18166
Crimes Against Property,3915790,1674042,1052288,43199,31562,7318,1107381
Arson,18780,9745,4318,360,181,53,4123
Bribery,766,509,185,16,12,2,42
Burglary/Breaking & Entering,366221,157553,84376,3989,2194,587,117522
Counterfeiting/Forgery,84402,44487,19605,853,975,140,18342
Destruction/Damage/Vandalism,789704,344105,233977,9961,6174,967,194520
Embezzlement,22880,12427,7914,269,296,33,1941
Extortion/Blackmail,6812,2562,822,33,144,13,3238
Fraud Offenses,375292,147928,77351,3192,4540,551,141730
Larceny/Theft Offenses,1677135,725832,426590,17108,13028,2996,491581
Motor Vehicle Theft,308208,124019,69450,4133,1817,800,107989
Robbery,160276,44805,93079,1295,909,643,19545
Stolen Property Offenses,105314,60070,34621,1990,1292,533,6808
Crimes Against Society,1917114,1225771,566720,33779,15388,3001,72455
Animal Cruelty,14890,9103,3627,163,197,26,1774
Drug/Narcotic Offenses,1568259,1071169,407089,30202,11430,2272,46097
Gambling Offenses,2765,1247,651,23,330,204,310
Pornography/Obscene Material,26348,16255,4908,180,363,35,4607
Prostitution Offenses,13184,6773,5011,83,921,40,356
Weapon Law Violations,291668,121224,145434,3128,2147,424,19311